message,intent
Donne-moi des informations sur la Guerre civile centrafricaine,recherche
J’aimerais un quiz sur la Guerre civile mozambicaine,quizz
Je veux une fiche de révision sur la Guerre de Dévolution,résumé
Fais-moi un résumé sur Seconde Guerre mondiale,résumé
Raconte-moi en quelques phrases la Guerre d'Indépendance des États-Unis,résumé
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Je veux une fiche de révision sur la Guerre du Golfe,résumé
Peux-tu me faire un quizz sur la Guerre d'indépendance grecque ?,quizz
Explique-moi en bref la Guerre du Kosovo,résumé
Génère un quizz sur la Guerre du Yom Kippour,quizz
Raconte-moi une anecdote sur la Guerre civile sud-soudanaise,recherche
J’aimerais un quiz sur la Guerre de Crimée,quizz
J’aimerais un quiz sur la Guerre civile mozambicaine,quizz
Affiche-moi les réponses du test,quizz_reponses
Affiche-moi les réponses du test,quizz_reponses
Fais-moi une synthèse sur la Guerre d'Irak,résumé
Raconte-moi en quelques phrases la Guerre des Boers,résumé
Fais-moi un résumé sur la Guerre d'Indépendance des États-Unis,résumé
Donne-moi un résumé de la Guerre civile angolaise,résumé
Explique-moi en bref la Guerre du Golfe,résumé
Génère un quizz sur la Guerre civile centrafricaine,quizz
Je veux une fiche de révision sur la Guerre d'indépendance grecque,résumé
Génère un quizz sur la Guerre de Succession d'Espagne,quizz
J’aimerais voir les réponses du quizz,quizz_reponses
Fais-moi un résumé sur la Guerre de Hollande,résumé
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Fais-moi une synthèse sur la Guerre du Tigré,résumé
Fais-moi un quizz sur la Guerre civile sud-soudanaise,quizz
Quels sont les empires ayant existé en la Guerre d'Afghanistan ?,recherche
Quand a commencé la Guerre d'Irak ?,recherche
Fais-moi une synthèse sur la Guerre civile éthiopienne,résumé
J’aimerais voir les réponses du quizz,quizz_reponses
Raconte-moi une anecdote sur la Guerre civile russe,recherche
Donne-moi un résumé de la Guerre de Hollande,résumé
Je veux une fiche de révision sur les Guerres napoléoniennes,résumé
Affiche-moi les réponses du test,quizz_reponses
Je veux un résumé sur la Guerre du Mali,résumé
Je veux un quizz sur la Guerre du Tigré,quizz
Affiche-moi les réponses du test,quizz_reponses
Test mes connaissances sur les Guerres napoléoniennes,quizz
Raconte-moi en quelques phrases la Guerre de la Ligue de Cambrai,résumé
Je veux une fiche de révision sur la Guerre civile sierra-léonaise,résumé
Fais-moi un exposé sur un grand personnage de la Guerre civile centrafricaine,recherche
Fais-moi un résumé sur la Guerre d'Indépendance des États-Unis,résumé
Parle-moi de la Guerre de Succession d'Autriche,recherche
Explique-moi en bref la Guerre civile sud-soudanaise,résumé
J’aimerais voir les réponses du quizz,quizz_reponses
Fais-moi un quizz sur la Guerre civile libyenne,quizz
Je veux un quizz sur Première la Guerre mondiale,quizz
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Je veux une fiche de révision sur la Guerre de Dévolution,résumé
Fais-moi une synthèse sur les Guerres de la Révolution française,résumé
Fais-moi un quizz sur Seconde Guerre mondiale,quizz
Donne-moi un résumé de la Guerre d'Irak,résumé
Donne-moi un résumé de la Guerre civile sierra-léonaise,résumé
Raconte-moi l'histoire de la Guerre franco-prussienne,recherche
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Donne-moi les solutions aux questions posées,quizz_reponses
Pose-moi des questions sur Seconde Guerre mondiale,quizz
J’aimerais voir les réponses du quizz,quizz_reponses
Affiche-moi les réponses du test,quizz_reponses
Explique-moi la Guerre civile sud-soudanaise,recherche
Donne-moi les solutions aux questions posées,quizz_reponses
Explique-moi en bref la Guerre de Succession d'Espagne,résumé
Donne-moi les solutions aux questions posées,quizz_reponses
J’aimerais voir les réponses du quizz,quizz_reponses
Quels sont les empires ayant existé en la Guerre du Darfour ?,recherche
Peux-tu me faire un quizz sur la Guerre du Darfour ?,quizz
Affiche-moi les réponses du test,quizz_reponses
Raconte-moi en quelques phrases la Guerre civile centrafricaine,résumé
Explique-moi une bataille célèbre liée à la Guerre des Boers,recherche
Peux-tu me parler d’un événement marquant de la Guerre civile russe ?,recherche
Fais-moi une synthèse sur la Guerre du Golfe,résumé
Je veux une fiche de révision sur la Guerre civile libérienne,résumé
Quels sont les empires ayant existé en la Guerre du Kosovo ?,recherche
Fais-moi un exposé sur un grand personnage de la Guerre civile yéménite,recherche
Génère un quizz sur la Guerre de Succession d'Espagne,quizz
J’aimerais un quiz sur la Guerre civile syrienne,quizz
Fais-moi un quizz sur la Guerre Iran-Irak,quizz
Quels sont les événements de la Guerre d'Afghanistan ?,recherche
Explique-moi une bataille célèbre liée à la Guerre de la Ligue d'Augsbourg,recherche
Test mes connaissances sur la Guerre civile libérienne,quizz
Donne-moi un résumé de la Guerre de Sécession,résumé
Je veux un quizz sur la Guerre du Yom Kippour,quizz
Que s’est-il passé en la Guerre de Corée ?,recherche
Donne-moi un résumé de la Guerre du Darfour,résumé
Fais-moi une synthèse sur la Guerre d'Afghanistan,résumé
Donne-moi les solutions aux questions posées,quizz_reponses
Fais-moi un résumé sur la Guerre civile sierra-léonaise,résumé
Donne-moi des informations sur la Guerre de Succession de Pologne,recherche
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Je veux une fiche de révision sur la Guerre d'Irak,résumé
Fais-moi une synthèse sur la Guerre de Trente Ans,résumé
Explique-moi une bataille célèbre liée à la Guerre civile centrafricaine,recherche
J’aimerais voir les réponses du quizz,quizz_reponses
Fais-moi un quizz sur la Guerre civile yéménite,quizz
J’aimerais voir les réponses du quizz,quizz_reponses
Test mes connaissances sur la Guerre du Haut-Karabagh,quizz
J’aimerais un quiz sur la Guerre Iran-Irak,quizz
Quels sont les faits marquants de la Guerre de Succession d'Espagne ?,recherche
Fais-moi un quizz sur la Guerre de Sept Ans,quizz
Raconte-moi une anecdote sur la Guerre civile angolaise,recherche
Affiche-moi les réponses du test,quizz_reponses
Fais-moi un quizz sur la Guerre civile libyenne,quizz
Affiche-moi les réponses du test,quizz_reponses
Fais-moi un quizz sur la Guerre d'Espagne,quizz
Fais-moi un quizz sur la Guerre de Bosnie,quizz
Quand a eu lieu la Guerre de Sept Ans ?,recherche
Je veux une fiche de révision sur la Guerre de Corée,résumé
Fais-moi une synthèse sur la Guerre civile chinoise,résumé
Dis-moi tout ce que tu sais sur la Guerre de Hollande,recherche
Peux-tu me faire un quizz sur la Guerre du Tigré ?,quizz
Peux-tu me parler d’un événement marquant de la Guerre civile yéménite ?,recherche
Fais-moi un résumé sur la Guerre de la Quadruple-Alliance,résumé
Génère un quizz sur la Guerre du Kosovo,quizz
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Quels pays étaient impliqués dans la Guerre de Trente Ans ?,recherche
Quels pays étaient impliqués dans la Guerre du Yom Kippour ?,recherche
Donne-moi les solutions aux questions posées,quizz_reponses
Pose-moi des questions sur Seconde Guerre mondiale,quizz
Quels sont les conflits les plus meurtriers de Seconde Guerre mondiale ?,recherche
Test mes connaissances sur la Guerre d'indépendance irlandaise,quizz
Affiche-moi les réponses du test,quizz_reponses
Donne-moi les solutions aux questions posées,quizz_reponses
Explique-moi en bref la Guerre civile centrafricaine,résumé
Affiche-moi les réponses du test,quizz_reponses
Affiche-moi les réponses du test,quizz_reponses
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Quels sont les conflits les plus meurtriers de la Guerre civile libérienne ?,recherche
Test mes connaissances sur la Guerre de Succession d'Espagne,quizz
Donne-moi un résumé de la Guerre de Sept Ans,résumé
Fais-moi un résumé sur la Guerre civile centrafricaine,résumé
Donne-moi un résumé de les Guerres de la Révolution française,résumé
Explique-moi ce qu'était la Guerre civile sud-soudanaise,recherche
Donne-moi les solutions aux questions posées,quizz_reponses
Donne-moi les solutions aux questions posées,quizz_reponses
Donne-moi les solutions aux questions posées,quizz_reponses
Quand a eu lieu la Guerre du Vietnam ?,recherche
Quels sont les événements clés de la Guerre du Kosovo ?,recherche
Fais-moi un résumé sur la Guerre civile angolaise,résumé
Fais-moi un résumé sur la Guerre de Hollande,résumé
Fais-moi un résumé sur la Guerre civile angolaise,résumé
Quelles sont les causes de la Guerre du Donbass ?,recherche
Quels sont les personnages célèbres de la Guerre de la Quadruple-Alliance ?,recherche
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Raconte-moi en quelques phrases la Guerre de Bosnie,résumé
J’aimerais voir les réponses du quizz,quizz_reponses
Génère un quizz sur la Guerre de Succession d'Espagne,quizz
J’aimerais un quiz sur la Guerre de 1812,quizz
Raconte-moi une anecdote sur la Guerre de la Ligue de Cambrai,recherche
Je veux une fiche de révision sur les Guerres de la Révolution française,résumé
Test mes connaissances sur la Guerre de la Ligue d'Augsbourg,quizz
Explique-moi une bataille célèbre liée à la Guerre du Donbass,recherche
Je veux un résumé sur la Guerre de la Quadruple-Alliance,résumé
Quand a commencé la Guerre du Vietnam ?,recherche
Je veux une fiche de révision sur la Guerre d'indépendance irlandaise,résumé
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Quand a eu lieu la Guerre de Sécession ?,recherche
Fais-moi un exposé sur un grand personnage de la Guerre civile sud-soudanaise,recherche
Affiche-moi les réponses du test,quizz_reponses
Donne-moi un résumé de la Guerre Iran-Irak,résumé
Quelles sont les causes de la Guerre de Succession de Pologne ?,recherche
J’aimerais un quiz sur la Guerre de Bosnie,quizz
Quels sont les empires ayant existé en la Guerre de la Ligue de Cambrai ?,recherche
Affiche-moi les réponses du test,quizz_reponses
Génère un quizz sur la Guerre de la Ligue d'Augsbourg,quizz
Je veux un quizz sur la Guerre du Haut-Karabagh,quizz
Quels sont les événements clés de les Guerres napoléoniennes ?,recherche
Raconte-moi l'histoire de la Guerre de Succession d'Autriche,recherche
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Je veux un résumé sur la Guerre de la Ligue d'Augsbourg,résumé
Affiche-moi les réponses du test,quizz_reponses
Donne-moi des informations sur la Guerre Iran-Irak,recherche
J’aimerais un quiz sur les Guerres napoléoniennes,quizz
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Raconte-moi en quelques phrases la Guerre franco-prussienne,résumé
Quels sont les personnages célèbres de Première la Guerre mondiale ?,recherche
Raconte-moi en quelques phrases la Guerre civile angolaise,résumé
Raconte-moi en quelques phrases la Guerre de Succession d'Autriche,résumé
Donne-moi les solutions aux questions posées,quizz_reponses
Affiche-moi les réponses du test,quizz_reponses
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Explique-moi en bref la Guerre du Donbass,résumé
Fais-moi un exposé sur un grand personnage de la Guerre d'Algérie,recherche
Affiche-moi les réponses du test,quizz_reponses
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Raconte-moi en quelques phrases la Guerre du Vietnam,résumé
Je veux un résumé sur la Guerre de Bosnie,résumé
Quelles sont les causes de la Guerre des Boers ?,recherche
Donne-moi les solutions aux questions posées,quizz_reponses
Je veux un résumé sur la Guerre d'indépendance irlandaise,résumé
Donne-moi les solutions aux questions posées,quizz_reponses
Quels sont les événements de la Guerre civile syrienne ?,recherche
Quelles sont les causes de la Guerre civile angolaise ?,recherche
Je veux un quizz sur la Guerre de Succession de Pologne,quizz
Quels sont les événements de la Guerre d'Indépendance des États-Unis ?,recherche
Peux-tu me parler d’un événement marquant de la Guerre civile sud-soudanaise ?,recherche
Je veux un résumé sur la Guerre civile syrienne,résumé
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Je veux un résumé sur la Guerre du Yom Kippour,résumé
Pose-moi des questions sur la Guerre d'Afghanistan,quizz
J’aimerais un quiz sur la Guerre civile éthiopienne,quizz
Génère un quizz sur la Guerre de Sécession,quizz
Je veux un résumé sur la Guerre de Dévolution,résumé
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
J’aimerais un quiz sur la Guerre de la Quadruple-Alliance,quizz
Affiche-moi les réponses du test,quizz_reponses
Donne-moi les solutions aux questions posées,quizz_reponses
Fais-moi une synthèse sur la Guerre du Mali,résumé
Peux-tu me parler d’un événement marquant de la Guerre civile libyenne ?,recherche
Je veux un quizz sur la Guerre franco-prussienne,quizz
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Parle-moi de la Guerre de la Quadruple-Alliance,recherche
Affiche-moi les réponses du test,quizz_reponses
Affiche-moi les réponses du test,quizz_reponses
Je veux un résumé sur la Guerre de Sept Ans,résumé
Explique-moi la Guerre civile yéménite,recherche
Donne-moi les solutions aux questions posées,quizz_reponses
Fais-moi un résumé sur la Guerre d'Indépendance des États-Unis,résumé
Quels sont les conflits les plus meurtriers de la Guerre du Donbass ?,recherche
Donne-moi un résumé de la Guerre de la Ligue d'Augsbourg,résumé
Affiche-moi les réponses du test,quizz_reponses
Donne-moi les solutions aux questions posées,quizz_reponses
Explique-moi en bref la Guerre civile syrienne,résumé
Explique-moi en bref la Guerre de la Quadruple-Alliance,résumé
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Parle-moi de Seconde Guerre mondiale,recherche
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Explique-moi en bref la Guerre d'indépendance irlandaise,résumé
J’aimerais voir les réponses du quizz,quizz_reponses
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Test mes connaissances sur la Guerre du Mali,quizz
Pose-moi des questions sur la Guerre civile libyenne,quizz
Fais-moi un résumé sur la Guerre civile russe,résumé
Fais-moi un exposé sur un grand personnage de la Guerre de Crimée,recherche
Donne-moi les solutions aux questions posées,quizz_reponses
Quels sont les faits historiques les plus importants de la Guerre civile angolaise ?,recherche
Fais-moi une synthèse sur la Guerre d'indépendance irlandaise,résumé
Pose-moi des questions sur la Guerre d'indépendance irlandaise,quizz
Je veux une fiche de révision sur la Guerre de Bosnie,résumé
Je veux une fiche de révision sur la Guerre de Crimée,résumé
Fais-moi un résumé sur la Guerre civile centrafricaine,résumé
Donne-moi les solutions aux questions posées,quizz_reponses
Fais-moi un quizz sur la Guerre de Succession de Pologne,quizz
Quels sont les événements de la Guerre civile mozambicaine ?,recherche
Donne-moi un résumé de la Guerre du Yom Kippour,résumé
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Affiche-moi les réponses du test,quizz_reponses
Génère un quizz sur la Guerre de Hollande,quizz
Donne-moi les solutions aux questions posées,quizz_reponses
Affiche-moi les réponses du test,quizz_reponses
Peux-tu me faire un quizz sur la Guerre d'Irak ?,quizz
Donne-moi les solutions aux questions posées,quizz_reponses
Quels sont les événements majeurs de la Guerre d'Irak ?,recherche
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Quels sont les faits marquants de la Guerre du Golfe ?,recherche
Je veux un résumé sur la Guerre de la Ligue de Cambrai,résumé
Génère un quizz sur la Guerre de Sept Ans,quizz
Raconte-moi une anecdote sur la Guerre civile libyenne,recherche
Donne-moi un résumé de la Guerre de Sécession,résumé
Donne-moi des informations sur la Guerre de Sept Ans,recherche
Raconte-moi en quelques phrases la Guerre d'Afghanistan,résumé
Dis-moi tout ce que tu sais sur la Guerre du Golfe,recherche
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Que s’est-il passé en la Guerre d'Indépendance des États-Unis ?,recherche
Explique-moi ce qu'était la Guerre civile angolaise,recherche
Explique-moi en bref la Guerre du Golfe,résumé
Donne-moi les solutions aux questions posées,quizz_reponses
J’aimerais voir les réponses du quizz,quizz_reponses
Que s’est-il passé en la Guerre du Vietnam ?,recherche
Génère un quizz sur la Guerre civile centrafricaine,quizz
Fais-moi un quizz sur la Guerre d'Espagne,quizz
Je veux un résumé sur la Guerre civile libyenne,résumé
Je veux un quizz sur la Guerre du Donbass,quizz
J’aimerais apprendre plus sur la Guerre de Trente Ans,recherche
Explique-moi une bataille célèbre liée à la Guerre des Boers,recherche
Donne-moi un résumé de la Guerre de la Quadruple-Alliance,résumé
Fais-moi un résumé sur la Guerre civile angolaise,résumé
Affiche-moi les réponses du test,quizz_reponses
Je veux un résumé sur la Guerre du Donbass,résumé
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Quels sont les faits marquants de la Guerre du Darfour ?,recherche
Quels sont les conflits les plus meurtriers de la Guerre d'Afghanistan ?,recherche
Explique-moi en bref la Guerre du Darfour,résumé
Donne-moi un résumé de la Guerre du Yom Kippour,résumé
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Donne-moi les solutions aux questions posées,quizz_reponses
Quels sont les faits marquants de la Guerre de Sept Ans ?,recherche
Test mes connaissances sur la Guerre de la Quadruple-Alliance,quizz
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
J’aimerais voir les réponses du quizz,quizz_reponses
Dis-moi tout ce que tu sais sur la Guerre franco-prussienne,recherche
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Je veux une fiche de révision sur la Guerre de la Ligue de Cambrai,résumé
Explique-moi en bref la Guerre du Yom Kippour,résumé
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Fais-moi un résumé sur la Guerre du Golfe,résumé
Quels sont les événements majeurs de la Guerre d'indépendance irlandaise ?,recherche
Quels sont les événements majeurs de la Guerre du Yom Kippour ?,recherche
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Quels sont les faits marquants de la Guerre civile yéménite ?,recherche
Parle-moi de les Guerres de la Révolution française,recherche
Fais-moi une synthèse sur la Guerre de Succession d'Espagne,résumé
Pose-moi des questions sur la Guerre civile yéménite,quizz
Je veux une fiche de révision sur la Guerre du Donbass,résumé
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Donne-moi les solutions aux questions posées,quizz_reponses
Génère un quizz sur la Guerre civile syrienne,quizz
Je veux un quizz sur la Guerre de Bosnie,quizz
Quels pays étaient impliqués dans la Guerre de la Ligue de Cambrai ?,recherche
Affiche-moi les réponses du test,quizz_reponses
Peux-tu me faire un quizz sur la Guerre civile syrienne ?,quizz
J’aimerais voir les réponses du quizz,quizz_reponses
J’aimerais voir les réponses du quizz,quizz_reponses
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Donne-moi des informations sur la Guerre franco-prussienne,recherche
Pose-moi des questions sur la Guerre de la Ligue de Cambrai,quizz
Je veux un quizz sur la Guerre civile libyenne,quizz
Donne-moi les solutions aux questions posées,quizz_reponses
Quels sont les événements de Seconde Guerre mondiale ?,recherche
Donne-moi des informations sur la Guerre civile éthiopienne,recherche
Fais-moi un quizz sur la Guerre d'Irak,quizz
Je veux un résumé sur la Guerre du Donbass,résumé
Que s’est-il passé en la Guerre des Boers ?,recherche
Dis-moi tout ce que tu sais sur les Guerres napoléoniennes,recherche
Je veux un quizz sur la Guerre de Succession d'Autriche,quizz
Fais-moi un quizz sur la Guerre des Boers,quizz
Donne-moi les solutions aux questions posées,quizz_reponses
Je veux un résumé sur la Guerre de Succession de Pologne,résumé
J’aimerais apprendre plus sur Seconde Guerre mondiale,recherche
Test mes connaissances sur la Guerre de Bosnie,quizz
Je veux un résumé sur la Guerre franco-prussienne,résumé
Je veux un résumé sur la Guerre de Succession d'Autriche,résumé
Fais-moi un exposé sur un grand personnage de la Guerre civile centrafricaine,recherche
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Je veux un quizz sur la Guerre civile sud-soudanaise,quizz
Quand a eu lieu Première la Guerre mondiale ?,recherche
J’aimerais un quiz sur la Guerre de Succession de Pologne,quizz
J’aimerais voir les réponses du quizz,quizz_reponses
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Je veux un quizz sur la Guerre de Crimée,quizz
Test mes connaissances sur la Guerre du Yom Kippour,quizz
Quelles sont les causes de la Guerre du Haut-Karabagh ?,recherche
Explique-moi en bref la Guerre de Hollande,résumé
Génère un quizz sur la Guerre de Sécession,quizz
Donne-moi un résumé de la Guerre de la Ligue d'Augsbourg,résumé
Quels sont les faits historiques les plus importants de la Guerre de Dévolution ?,recherche
Affiche-moi les réponses du test,quizz_reponses
Donne-moi des informations sur la Guerre de Dévolution,recherche
Fais-moi un exposé sur un grand personnage de la Guerre d'Irak,recherche
Explique-moi en bref la Guerre de Sécession,résumé
Je veux un quizz sur la Guerre du Mali,quizz
Raconte-moi en quelques phrases la Guerre civile centrafricaine,résumé
Peux-tu me faire un quizz sur la Guerre du Tigré ?,quizz
Pose-moi des questions sur la Guerre civile centrafricaine,quizz
Quels sont les conflits les plus meurtriers de Seconde Guerre mondiale ?,recherche
Test mes connaissances sur la Guerre civile chinoise,quizz
Quels sont les événements de la Guerre civile yéménite ?,recherche
Donne-moi un résumé de la Guerre de la Ligue d'Augsbourg,résumé
Je veux une fiche de révision sur la Guerre du Tigré,résumé
Donne-moi les solutions aux questions posées,quizz_reponses
Test mes connaissances sur la Guerre d'Indépendance des États-Unis,quizz
J’aimerais un quiz sur la Guerre d'Irak,quizz
Pose-moi des questions sur la Guerre de Corée,quizz
Quels sont les empires ayant existé en la Guerre du Tigré ?,recherche
Peux-tu me faire un quizz sur la Guerre d'Indépendance des États-Unis ?,quizz
Je veux une fiche de révision sur la Guerre civile libérienne,résumé
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Affiche-moi les réponses du test,quizz_reponses
Je veux un quizz sur Première la Guerre mondiale,quizz
Affiche-moi les réponses du test,quizz_reponses
Raconte-moi une anecdote sur la Guerre civile angolaise,recherche
Fais-moi un exposé sur un grand personnage de la Guerre civile syrienne,recherche
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Dis-moi tout ce que tu sais sur la Guerre de Hollande,recherche
Quels pays étaient impliqués dans la Guerre des Boers ?,recherche
Fais-moi un résumé sur la Guerre de Dévolution,résumé
Fais-moi un résumé sur la Guerre du Mali,résumé
Affiche-moi les réponses du test,quizz_reponses
J’aimerais un quiz sur la Guerre de Crimée,quizz
Fais-moi un résumé sur la Guerre civile yéménite,résumé
Quand a eu lieu la Guerre de Succession d'Autriche ?,recherche
Génère un quizz sur la Guerre civile mozambicaine,quizz
Quelles sont les causes de Seconde Guerre mondiale ?,recherche
Quels sont les faits historiques les plus importants de la Guerre du Donbass ?,recherche
Raconte-moi l'histoire de la Guerre de 1812,recherche
Pose-moi des questions sur la Guerre de Dévolution,quizz
Je veux un quizz sur la Guerre civile sud-soudanaise,quizz
Donne-moi les solutions aux questions posées,quizz_reponses
Raconte-moi en quelques phrases les Guerres napoléoniennes,résumé
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Test mes connaissances sur la Guerre de la Ligue d'Augsbourg,quizz
Fais-moi une synthèse sur la Guerre d'Irak,résumé
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Pose-moi des questions sur la Guerre du Yom Kippour,quizz
Je veux un quizz sur la Guerre civile sud-soudanaise,quizz
Test mes connaissances sur la Guerre civile yéménite,quizz
Quels sont les événements de la Guerre civile sierra-léonaise ?,recherche
Fais-moi un quizz sur la Guerre d'Afghanistan,quizz
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Quand a commencé la Guerre du Mali ?,recherche
J’aimerais un quiz sur la Guerre civile syrienne,quizz
Fais-moi une synthèse sur la Guerre de Succession d'Espagne,résumé
J’aimerais apprendre plus sur la Guerre de la Ligue d'Augsbourg,recherche
Fais-moi une synthèse sur la Guerre de Dévolution,résumé
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
J’aimerais un quiz sur la Guerre de Sept Ans,quizz
Je veux un résumé sur la Guerre civile sud-soudanaise,résumé
Quand a commencé la Guerre de 1812 ?,recherche
Quels sont les empires ayant existé en la Guerre franco-prussienne ?,recherche
Génère un quizz sur la Guerre d'Afghanistan,quizz
Raconte-moi l'histoire de la Guerre du Donbass,recherche
Génère un quizz sur la Guerre d'indépendance grecque,quizz
Donne-moi un résumé de la Guerre de Bosnie,résumé
Donne-moi un résumé de la Guerre civile éthiopienne,résumé
Quels sont les faits historiques les plus importants de la Guerre civile éthiopienne ?,recherche
Fais-moi une synthèse sur la Guerre du Mali,résumé
Donne-moi les solutions aux questions posées,quizz_reponses
Fais-moi une synthèse sur la Guerre d'indépendance grecque,résumé
Affiche-moi les réponses du test,quizz_reponses
Test mes connaissances sur la Guerre du Kosovo,quizz
J’aimerais un quiz sur la Guerre civile libyenne,quizz
Affiche-moi les réponses du test,quizz_reponses
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Test mes connaissances sur les Guerres de la Révolution française,quizz
Je veux une fiche de révision sur la Guerre de Sécession,résumé
Quels sont les événements majeurs de la Guerre d'Espagne ?,recherche
Fais-moi un quizz sur la Guerre de la Ligue de Cambrai,quizz
Quels sont les conflits les plus meurtriers de la Guerre d'Algérie ?,recherche
Affiche-moi les réponses du test,quizz_reponses
J’aimerais un quiz sur la Guerre d'Indépendance des États-Unis,quizz
Quand a commencé la Guerre de Bosnie ?,recherche
Génère un quizz sur la Guerre de la Quadruple-Alliance,quizz
Donne-moi un résumé de les Guerres napoléoniennes,résumé
Pose-moi des questions sur la Guerre du Darfour,quizz
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Test mes connaissances sur la Guerre d'indépendance irlandaise,quizz
Raconte-moi une anecdote sur la Guerre d'indépendance grecque,recherche
Donne-moi un résumé de la Guerre de Corée,résumé
Quand a eu lieu la Guerre de Hollande ?,recherche
Pose-moi des questions sur la Guerre de la Ligue de Cambrai,quizz
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Raconte-moi en quelques phrases la Guerre civile russe,résumé
Affiche-moi les réponses du test,quizz_reponses
Explique-moi la Guerre des Boers,recherche
Fais-moi une synthèse sur la Guerre du Darfour,résumé
Je veux une fiche de révision sur la Guerre du Tigré,résumé
Explique-moi en bref la Guerre civile chinoise,résumé
Fais-moi une synthèse sur la Guerre de Bosnie,résumé
Test mes connaissances sur la Guerre civile syrienne,quizz
Fais-moi un résumé sur la Guerre d'Algérie,résumé
Donne-moi un résumé de la Guerre de Crimée,résumé
Affiche-moi les réponses du test,quizz_reponses
Peux-tu me faire un quizz sur la Guerre de Succession de Pologne ?,quizz
J’aimerais un quiz sur la Guerre de Trente Ans,quizz
Test mes connaissances sur la Guerre de Dévolution,quizz
Peux-tu me faire un quizz sur la Guerre de Trente Ans ?,quizz
Génère un quizz sur la Guerre d'Afghanistan,quizz
Fais-moi un résumé sur la Guerre du Golfe,résumé
Fais-moi un quizz sur Première la Guerre mondiale,quizz
Donne-moi les solutions aux questions posées,quizz_reponses
Raconte-moi en quelques phrases la Guerre de Succession d'Espagne,résumé
Explique-moi en bref la Guerre de Corée,résumé
Quels pays étaient impliqués dans la Guerre de la Ligue d'Augsbourg ?,recherche
Pose-moi des questions sur la Guerre de Hollande,quizz
Fais-moi un résumé sur la Guerre d'indépendance irlandaise,résumé
J’aimerais voir les réponses du quizz,quizz_reponses
Explique-moi une bataille célèbre liée à la Guerre d'Irak,recherche
Pose-moi des questions sur la Guerre d'Indépendance des États-Unis,quizz
J’aimerais voir les réponses du quizz,quizz_reponses
Je veux un quizz sur la Guerre de Succession d'Espagne,quizz
Quand a commencé la Guerre civile centrafricaine ?,recherche
Quels sont les empires ayant existé en la Guerre civile sud-soudanaise ?,recherche
Je veux un quizz sur la Guerre de Crimée,quizz
Explique-moi en bref la Guerre d'Irak,résumé
Je veux un résumé sur la Guerre de Bosnie,résumé
Dis-moi tout ce que tu sais sur la Guerre de la Ligue d'Augsbourg,recherche
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Pose-moi des questions sur la Guerre du Yom Kippour,quizz
Fais-moi une synthèse sur la Guerre de Trente Ans,résumé
Génère un quizz sur la Guerre de Bosnie,quizz
Pose-moi des questions sur la Guerre d'Indépendance des États-Unis,quizz
Explique-moi une bataille célèbre liée à la Guerre de Corée,recherche
J’aimerais un quiz sur la Guerre civile centrafricaine,quizz
